id,temperature,temp_delta_c,humidity,weight,bee_activity,pressure,voc_ppm,acoustic_hz,ir_entrance_in,ir_entrance_out,pir_motion,battery_v,solar_w,hour_of_day,season_code,health_score,health_status,disease_risk,estimated_harvest_kg
16,35.1,5.6,67.2,41.83,0.16,1001.8,30.4,231.7,3,-1,0,3.93,0.0,20,2,91,0,0.02,19.5
17,36.74,9.1,45.1,25.62,0.48,1013.2,138.1,346.3,28,21,0,3.6,0.0,17,2,80,1,0.35,6.5
18,35.07,7.1,55.7,37.34,0.61,999.8,58.5,239.0,42,37,0,3.86,5.9,8,3,96,0,0.09,17.1
19,34.97,4.3,62.6,49.78,0.25,1006.5,36.7,214.5,6,6,0,4.14,0.0,22,1,91,0,0.03,26.4
20,42.81,16.9,89.3,15.26,0.21,1016.9,390.0,590.7,6,33,0,3.14,1.3,17,3,19,3,0.93,0.0
21,37.78,10.2,39.1,20.24,0.3,1010.2,190.5,531.3,1,-5,0,3.56,0.0,3,3,53,2,0.74,1.7
22,27.82,6.8,95.7,19.1,0.1,1008.5,309.8,574.9,6,74,0,3.18,0.8,21,2,20,3,0.9,0.7
23,33.9,5.1,63.6,45.83,1.0,1014.0,44.9,221.0,94,90,0,3.96,5.7,16,1,90,0,0.04,26.2
24,33.44,5.1,68.0,30.19,0.63,1013.9,103.6,338.0,40,39,0,3.78,5.8,12,1,72,1,0.38,10.7
25,35.13,4.8,58.1,31.02,0.22,1015.2,44.0,238.2,4,-1,0,4.09,0.0,19,2,98,0,0.06,10.7
26,34.01,4.2,63.9,34.81,0.76,1017.2,70.2,240.1,46,47,0,3.98,6.6,12,3,89,0,0.11,15.2
27,42.03,16.0,29.5,17.15,0.18,999.9,394.6,676.0,2,90,0,3.1,1.6,21,2,19,3,0.88,0.0
28,34.25,4.6,62.0,45.54,1.0,1016.5,36.2,218.1,84,81,0,4.01,5.8,9,1,94,0,0.03,26.0
29,38.33,8.5,81.9,27.48,0.39,1007.3,235.3,539.5,3,17,0,3.37,0.0,22,0,58,2,0.54,8.0
30,36.03,8.3,53.8,25.18,0.57,1005.8,119.7,197.8,5,-10,0,3.56,0.0,21,3,80,1,0.27,6.2
31,35.99,5.0,68.8,33.1,0.66,1003.7,86.3,210.0,42,34,0,3.76,5.7,12,2,70,1,0.25,13.4
32,34.11,4.5,64.1,47.11,1.0,1015.2,64.5,215.9,78,74,0,4.02,8.6,15,0,94,0,0.07,27.5
33,34.88,3.6,66.1,41.72,0.19,1000.5,57.0,214.2,2,2,0,4.05,0.0,2,1,94,0,0.01,19.5
34,34.09,6.1,53.7,30.1,0.65,1009.2,102.6,196.1,50,49,0,3.8,5.2,11,3,84,1,0.22,10.7
35,34.49,6.2,59.2,36.15,0.23,1015.3,51.9,222.4,6,6,0,4.01,0.0,19,3,91,0,0.07,15.0
36,35.1,6.9,75.9,32.14,0.58,1004.0,91.0,349.2,39,45,0,3.65,4.7,15,1,84,1,0.28,12.4
37,34.84,5.6,67.4,45.94,0.3,1006.7,61.1,216.7,9,8,0,3.91,0.0,3,1,91,0,0.02,23.4
38,32.61,5.7,68.5,36.22,0.6,999.6,104.0,199.1,51,39,0,3.65,1.9,9,0,85,1,0.21,16.0
39,34.76,3.2,57.0,32.61,0.73,1005.1,66.5,243.2,45,43,0,4.1,4.7,15,0,95,0,0.07,13.1
40,34.67,5.1,62.9,34.64,0.26,1014.5,63.3,243.2,5,10,0,3.87,0.0,18,3,88,0,0.02,13.8
41,34.2,5.6,58.7,47.33,0.83,1004.4,68.7,212.5,54,53,0,4.15,5.8,15,2,98,0,0.07,26.9
42,34.91,6.6,62.7,40.31,0.22,999.0,67.1,242.2,9,5,0,3.9,0.0,4,0,95,0,0.07,18.4
43,32.12,1.0,74.7,24.56,0.65,1009.8,140.9,180.6,37,40,0,3.73,5.6,13,2,83,1,0.25,5.7
44,34.27,5.0,63.7,44.58,0.25,1021.3,68.6,221.5,9,8,0,3.81,0.0,2,3,92,0,0.02,22.1
45,34.6,2.9,69.9,27.74,0.49,1005.5,108.5,198.8,23,14,0,3.81,3.4,12,0,77,1,0.21,8.3
46,35.19,6.2,66.9,50.52,0.19,1011.2,50.8,214.1,4,6,0,3.96,0.0,0,3,95,0,0.06,26.8
47,27.28,4.0,27.5,15.87,0.05,1010.9,388.5,645.4,12,94,0,3.29,1.2,12,1,39,3,0.91,0.0
48,34.56,5.1,60.9,42.58,1.0,1013.9,44.5,216.6,84,82,0,3.82,7.6,11,2,94,0,0.09,23.2
49,33.85,5.6,61.5,41.57,0.23,1016.8,56.6,240.4,9,5,0,3.96,0.0,20,1,90,0,0.08,19.5
50,33.91,-0.1,71.3,36.42,0.58,1015.9,128.8,208.6,60,67,0,3.72,2.2,8,2,79,1,0.37,16.2
51,35.38,8.8,69.7,29.02,0.57,1018.9,104.5,312.4,23,17,0,3.64,4.4,13,0,75,1,0.25,9.6
52,34.62,5.4,58.0,49.83,0.21,1021.1,58.7,226.1,2,4,0,3.97,0.0,19,1,97,0,0.05,26.3
53,34.22,5.1,68.0,37.9,0.25,1011.6,68.4,213.7,8,12,0,3.81,0.0,22,2,94,0,0.1,16.5
54,39.91,7.8,42.0,21.9,0.31,1019.7,183.0,532.3,1,21,0,3.53,0.0,21,0,49,2,0.66,3.1
55,34.42,4.4,62.5,46.44,0.19,1004.5,63.0,213.2,6,6,0,4.0,0.0,20,0,96,0,0.12,23.4
56,40.39,12.5,87.6,27.54,0.31,1017.0,240.4,485.6,0,-11,0,3.5,0.0,5,2,62,2,0.59,7.9
57,34.44,5.5,63.7,44.85,0.21,999.5,60.3,230.5,7,3,0,4.16,0.0,0,2,97,0,0.05,22.2
58,32.56,-0.5,68.4,29.44,0.55,1013.7,149.7,303.5,54,43,0,3.74,3.7,14,2,74,1,0.35,9.9
59,26.14,-12.0,91.6,17.81,0.22,1000.2,305.4,633.4,10,77,1,3.14,0.4,15,3,39,3,0.8,0.0
60,34.27,6.3,67.9,42.9,0.29,1018.6,65.4,217.2,10,8,0,4.09,0.0,6,0,97,0,0.1,20.8
61,34.92,3.9,56.4,42.95,0.18,1009.4,69.0,214.6,7,5,0,3.85,0.0,4,1,89,0,0.06,20.5
62,34.11,4.1,63.0,36.64,1.0,1019.8,62.7,241.8,82,85,0,4.18,8.2,11,0,89,0,0.06,17.5
63,34.01,5.5,56.6,51.88,0.25,1013.7,58.1,230.5,7,8,0,4.03,0.0,2,0,99,0,0.02,28.2
64,35.04,6.7,60.4,36.88,1.0,1018.0,67.2,224.0,86,82,0,4.16,0.0,17,1,95,0,0.09,17.7
65,34.83,6.6,65.6,37.25,0.26,1004.9,55.0,230.5,10,13,0,4.05,0.0,2,3,99,0,0.09,16.0
66,34.51,4.0,57.0,38.09,0.97,1013.4,51.7,239.7,62,65,0,4.11,8.1,9,2,97,0,0.12,18.8
67,34.18,4.1,64.9,42.46,0.17,1007.0,71.5,222.3,4,1,0,4.04,0.0,0,2,99,0,0.01,20.0
68,34.24,4.5,59.2,33.46,0.68,1003.2,72.4,230.9,43,40,0,3.9,7.1,14,2,95,0,0.06,13.8
69,33.96,4.8,63.8,34.85,0.9,1000.9,56.7,228.4,59,54,0,3.88,8.7,16,0,92,0,0.09,15.6
70,34.33,4.6,64.1,31.59,1.0,1007.7,52.5,239.2,91,91,0,3.81,8.6,15,3,97,0,0.1,12.7
71,34.37,2.9,67.6,31.94,0.3,1015.9,37.7,243.2,9,9,0,4.02,0.0,20,3,94,0,0.07,11.6
72,32.37,5.0,49.8,26.07,0.48,1016.5,97.6,190.5,5,16,0,3.56,0.0,7,2,72,1,0.24,6.9
73,35.65,7.1,77.2,26.11,0.47,1008.8,121.7,198.7,60,55,0,3.61,2.4,15,3,72,1,0.21,6.9
74,31.46,2.3,40.5,29.09,0.39,1017.5,210.7,484.8,0,8,1,3.48,0.0,1,2,46,2,0.62,9.3
75,34.04,3.4,58.2,33.49,1.0,999.6,49.7,225.4,73,77,0,3.96,5.4,10,0,98,0,0.08,14.5
76,34.81,6.3,63.5,42.82,0.18,1015.0,70.8,240.6,7,3,0,4.17,0.0,3,3,94,0,0.09,20.4
77,34.7,5.3,59.3,44.21,0.24,1016.4,35.8,234.6,10,6,0,3.94,0.0,2,2,91,0,0.03,21.7
78,23.77,-13.2,29.6,18.63,0.2,1017.4,351.0,719.9,8,34,0,3.21,0.3,6,1,34,3,0.82,0.4
79,34.31,3.6,64.4,41.75,0.23,1011.7,73.6,231.4,9,7,0,3.98,0.0,5,3,93,0,0.1,19.7
80,35.73,9.0,72.2,32.98,0.69,1001.8,95.5,340.5,36,22,0,3.54,5.2,14,3,79,1,0.41,13.4
81,31.64,-0.8,43.0,23.74,0.35,1017.0,253.0,478.1,17,29,1,3.37,1.6,14,1,67,2,0.51,4.7
82,34.96,4.6,64.0,30.12,0.25,1008.2,36.2,234.7,9,13,0,4.12,0.0,4,0,99,0,0.07,10.0
83,33.87,4.5,60.5,43.13,0.7,1011.7,65.7,226.0,47,49,0,3.89,4.3,9,1,97,0,0.06,22.6
84,34.3,6.2,67.4,30.45,0.33,1016.9,54.5,237.5,10,13,0,3.95,0.0,5,0,99,0,0.05,10.4
85,35.02,8.7,51.6,34.91,0.58,1002.8,106.6,334.6,31,42,0,3.72,5.1,11,1,84,1,0.22,14.8
86,34.23,3.0,60.2,34.2,0.19,1008.5,66.7,226.6,2,7,0,4.13,0.0,6,0,89,0,0.05,13.3
87,31.89,4.7,83.5,27.27,0.27,1005.1,252.4,492.7,30,15,0,3.55,2.4,12,3,47,2,0.57,7.6
88,34.42,3.7,60.8,36.04,1.0,1020.9,62.7,241.9,79,80,0,3.83,7.0,14,3,99,0,0.05,16.9
89,33.89,3.8,65.1,33.38,0.19,1007.6,46.5,223.4,2,6,0,3.97,0.0,4,3,90,0,0.02,12.6
90,33.96,5.2,64.6,35.76,0.23,1001.3,52.5,223.5,10,6,0,4.18,0.0,20,2,95,0,0.04,14.7
91,34.8,4.0,68.0,37.64,0.23,1014.8,66.5,243.9,7,12,0,4.14,0.0,2,3,99,0,0.1,16.2
92,33.97,5.7,57.6,42.19,0.16,1007.6,36.2,237.7,2,2,0,4.01,0.0,5,2,89,0,0.08,19.8
93,34.88,6.2,65.7,40.25,0.2,1021.2,33.3,244.0,3,5,0,4.12,0.0,22,3,97,0,0.07,18.3
94,38.06,14.6,88.3,28.46,0.31,1013.4,182.5,552.6,21,19,0,3.47,0.9,13,0,62,2,0.56,8.7
95,34.67,5.0,66.7,31.79,0.19,1013.3,45.2,242.3,2,-3,0,3.9,0.0,18,1,97,0,0.03,11.3
96,33.45,-0.3,76.1,29.82,0.58,1001.1,111.4,348.9,30,29,0,3.55,5.3,15,2,81,1,0.28,10.3
97,34.45,5.2,58.5,49.01,0.87,1016.3,41.2,213.4,58,59,0,4.14,8.0,11,0,99,0,0.11,28.7
98,34.23,4.1,55.3,42.83,0.78,1018.3,72.5,227.7,55,53,0,4.03,8.1,15,3,92,0,0.08,22.6
99,39.67,15.6,82.4,20.74,0.38,1000.3,217.0,447.3,22,20,0,3.38,4.0,13,1,48,2,0.66,2.2
100,34.31,5.0,56.9,30.86,0.67,1012.7,57.1,224.0,42,37,0,4.0,4.3,11,2,90,0,0.11,11.4
101,41.25,2.0,94.6,19.71,0.11,1013.1,349.9,713.0,4,90,0,3.34,1.2,5,3,35,3,0.94,1.2
102,34.72,5.7,67.6,40.57,0.2,1011.7,56.0,218.0,2,6,0,4.09,0.0,19,3,98,0,0.05,18.6
103,34.42,4.2,60.4,50.25,0.34,1022.0,48.6,217.1,10,14,0,3.82,0.0,22,0,91,0,0.03,27.3
104,34.04,2.2,66.9,44.15,1.0,1021.6,45.4,222.4,89,94,0,3.87,4.9,15,3,91,0,0.07,24.7
105,34.35,6.1,73.6,31.6,0.69,1015.1,145.7,188.6,56,62,0,3.62,4.9,9,1,71,1,0.24,12.1
106,35.59,6.3,76.3,34.37,0.51,1015.2,102.6,188.1,26,30,1,3.82,2.1,11,3,73,1,0.26,14.2
107,34.57,4.0,67.1,44.31,0.3,1003.6,48.3,242.7,9,11,0,3.91,0.0,3,1,89,0,0.02,22.1
108,31.53,-0.1,88.1,29.37,0.49,1020.3,259.7,475.6,3,-6,0,3.56,0.0,23,0,63,2,0.48,9.8
109,34.7,3.8,61.8,36.0,1.0,1017.0,70.0,214.7,72,74,0,4.08,7.1,10,2,88,0,0.09,16.9
110,35.0,5.5,66.7,44.72,0.16,1008.7,67.2,228.0,3,4,0,3.92,0.0,18,1,92,0,0.04,21.9
111,34.81,4.0,55.1,32.6,0.7,1013.3,59.4,234.2,43,48,0,3.99,8.4,8,2,92,0,0.09,13.0
112,33.05,2.8,69.5,30.59,0.6,1010.7,133.6,192.5,55,69,0,3.58,2.2,9,2,72,1,0.39,11.0
113,31.32,7.2,36.8,21.16,0.3,1008.0,213.7,443.0,21,29,0,3.33,2.3,11,0,59,2,0.7,2.5
114,34.74,2.8,59.0,42.72,0.12,1009.3,31.0,218.9,2,0,0,3.82,0.0,18,0,89,0,0.12,20.1
115,33.99,3.4,63.3,39.87,0.99,1006.3,62.8,243.7,63,64,0,3.83,8.8,9,3,90,0,0.11,20.6
116,34.82,6.2,57.9,44.82,0.24,1002.5,30.2,210.8,6,8,0,4.11,0.0,5,3,93,0,0.04,22.3
117,34.72,3.7,63.0,31.48,0.21,1007.7,72.1,241.1,5,3,0,4.06,0.0,23,0,91,0,0.11,11.0
118,35.73,6.4,77.9,34.82,0.67,1004.6,100.2,197.3,4,8,0,3.81,0.0,7,1,77,1,0.45,15.0
119,34.05,5.6,77.7,29.83,0.49,1015.0,146.2,203.6,40,47,0,3.76,0.0,17,1,77,1,0.32,10.2
120,35.15,5.6,62.2,44.23,0.85,1012.5,36.0,218.5,53,53,0,3.84,7.5,14,0,92,0,0.03,24.1
121,34.87,3.2,64.4,51.05,0.18,1014.7,55.1,226.8,7,6,0,4.17,0.0,1,0,95,0,0.02,27.2
122,34.14,3.1,59.2,35.75,0.23,1005.7,42.7,226.3,7,6,0,3.84,0.0,22,1,95,0,0.12,14.6
123,33.86,3.9,66.2,42.74,0.29,1013.7,63.4,210.6,10,14,0,3.93,0.0,6,2,91,0,0.05,20.7
124,34.95,3.2,67.6,33.72,0.22,1010.6,58.9,227.2,4,4,0,4.15,0.0,21,2,98,0,0.07,12.9
125,33.98,3.7,47.1,32.65,0.63,1007.9,131.0,330.6,2,-12,0,3.67,0.0,2,0,70,1,0.32,12.9
126,34.2,5.1,61.5,50.2,0.18,1007.5,61.4,225.1,4,0,0,4.04,0.0,0,2,93,0,0.04,26.5
127,34.14,6.1,64.1,51.82,0.76,1002.1,43.5,239.0,45,50,0,3.95,5.6,11,3,98,0,0.06,30.7
128,33.59,0.2,53.8,27.8,0.7,1005.5,143.2,186.9,56,56,0,3.6,3.7,15,3,75,1,0.36,8.7
129,35.42,5.4,68.8,36.55,0.54,1021.4,95.6,363.5,3,9,0,3.55,0.0,6,1,72,1,0.45,16.2
130,34.97,5.3,59.4,30.65,0.23,1014.3,64.6,243.4,8,8,0,3.99,0.0,1,0,94,0,0.05,10.4
131,34.67,2.9,65.4,45.66,0.22,1008.7,62.1,212.9,4,5,0,3.92,0.0,21,3,88,0,0.02,22.9
132,34.06,3.0,60.8,37.79,0.6,1015.4,55.0,224.3,41,37,0,3.92,5.6,8,0,94,0,0.04,17.4
133,34.04,2.2,59.9,31.39,1.0,1015.3,36.2,220.5,71,68,0,3.98,0.0,17,1,92,0,0.02,12.5
134,33.99,2.2,55.1,39.68,0.94,1002.8,47.8,239.5,64,64,0,4.05,6.8,15,1,97,0,0.04,20.2
135,41.23,4.3,29.4,19.72,0.12,998.6,356.4,605.8,6,65,1,3.2,1.2,10,1,33,3,0.89,1.2
136,26.79,-15.0,25.6,14.97,0.1,1009.5,397.2,732.9,10,93,1,3.05,0.8,23,3,26,3,0.86,0.0
137,34.91,4.2,59.7,32.41,1.0,1007.6,70.3,228.8,80,76,0,3.86,6.9,12,3,98,0,0.07,13.5
138,33.94,4.0,57.9,34.86,1.0,1005.1,63.6,229.5,84,88,0,4.06,7.3,10,3,88,0,0.03,15.8
139,38.22,2.6,86.6,27.22,0.36,1013.6,212.1,468.8,0,8,1,3.31,0.0,2,0,45,2,0.67,7.7
140,41.79,8.8,28.0,18.41,0.08,1007.3,334.0,656.3,12,81,0,3.14,1.5,21,1,26,3,0.96,0.2
141,34.85,5.6,65.5,38.05,0.23,1007.3,32.8,213.6,10,7,0,4.05,0.0,22,1,98,0,0.06,16.6
142,34.98,5.0,63.0,42.98,0.93,1008.0,66.6,234.7,59,63,0,3.89,4.1,12,0,90,0,0.05,23.3
143,34.48,2.7,62.0,33.67,0.2,1009.6,71.4,242.6,4,7,0,4.12,0.0,4,3,93,0,0.08,12.8
144,24.97,-11.3,28.7,19.57,0.09,1016.4,396.0,662.4,1,33,1,3.08,0.6,6,3,30,3,0.94,1.1
145,34.18,3.2,62.1,46.72,1.0,1005.1,74.6,229.0,88,83,0,3.96,0.0,17,0,98,0,0.09,27.1
146,35.01,4.5,56.1,47.84,0.21,1016.8,68.9,214.1,5,3,0,4.07,0.0,1,3,90,0,0.08,24.6
147,34.55,2.6,62.8,42.6,0.26,1016.9,37.6,244.3,6,5,0,4.14,0.0,6,0,90,0,0.1,20.5
148,31.46,3.1,85.8,21.42,0.41,1016.0,242.8,526.6,3,14,0,3.41,0.0,1,2,47,2,0.5,2.8
149,34.48,3.2,62.6,43.97,0.22,1009.9,69.1,239.7,3,5,0,4.1,0.0,22,2,94,0,0.05,21.5
150,34.61,6.6,62.4,31.01,1.0,1021.0,51.8,222.0,83,78,0,3.81,8.6,10,2,95,0,0.03,12.2
151,31.5,8.0,35.8,23.96,0.33,1003.1,196.0,431.5,1,-16,0,3.37,0.0,6,1,67,2,0.66,4.9
152,34.53,5.2,60.8,45.27,0.19,1019.1,30.4,222.0,3,4,0,3.83,0.0,2,1,89,0,0.1,22.4
153,35.62,2.7,77.9,30.16,0.65,1000.1,94.3,180.3,5,-5,0,3.55,0.0,4,3,84,1,0.3,10.7
154,34.83,7.2,77.6,31.75,0.61,1012.6,105.4,307.7,0,-8,0,3.77,0.0,3,1,79,1,0.37,12.1
155,33.88,5.4,66.7,40.99,0.18,1018.7,73.0,227.3,3,1,0,4.17,0.0,6,3,93,0,0.12,18.8
156,34.76,5.7,64.9,31.49,0.18,1015.1,73.0,237.0,2,6,0,3.82,0.0,18,3,96,0,0.1,11.0
157,32.4,0.8,74.2,26.18,0.54,1015.5,103.0,331.1,33,43,0,3.77,4.2,13,3,79,1,0.36,7.0
158,35.09,4.0,56.5,30.28,0.14,1015.3,57.6,211.9,4,0,1,3.99,0.0,7,0,96,0,0.05,9.9
159,34.89,4.9,58.5,47.76,0.15,1010.3,69.9,237.0,2,2,0,4.07,0.0,5,2,89,0,0.07,24.3
160,28.63,-8.3,43.0,28.59,0.25,1018.6,227.4,436.1,0,-18,1,3.41,0.0,1,3,50,2,0.73,8.7
161,34.15,2.3,66.9,32.63,1.0,999.7,44.4,238.9,76,76,0,3.88,0.0,17,3,88,0,0.07,13.7
162,33.49,6.3,72.6,30.49,0.61,1020.4,109.0,358.5,59,51,0,3.77,2.0,14,2,77,1,0.43,11.0
163,34.69,3.9,64.0,32.29,0.25,1000.2,30.4,221.7,8,7,0,3.99,0.0,0,1,90,0,0.02,11.8
164,33.79,0.4,45.8,31.95,0.57,1007.4,91.2,362.0,0,3,0,3.58,0.0,7,3,80,1,0.27,12.2
165,34.18,4.4,56.0,32.32,0.16,1009.1,39.1,237.3,3,0,0,3.85,0.0,23,2,91,0,0.05,11.6
166,34.76,3.5,65.7,32.01,0.19,1002.2,61.4,211.4,7,4,0,4.0,0.0,3,0,92,0,0.08,11.4
167,34.57,6.3,56.2,31.36,0.73,1012.1,34.6,237.8,47,42,0,3.88,5.7,12,3,98,0,0.09,12.0
168,25.88,-9.1,25.8,20.6,0.06,1002.1,397.1,736.0,1,35,0,3.15,1.4,2,0,24,3,0.88,1.9
169,34.42,3.8,56.9,39.06,0.24,1017.1,57.6,231.6,6,8,0,3.91,0.0,6,1,91,0,0.03,17.4
170,41.4,9.8,29.4,15.26,0.1,1016.4,406.9,665.6,6,64,1,3.31,1.6,7,0,27,3,0.79,0.0
171,34.72,6.0,58.5,42.67,0.21,1012.2,66.7,242.1,2,0,0,4.16,0.0,7,1,90,0,0.12,20.3
172,30.8,1.2,40.1,23.09,0.37,1006.0,216.3,446.4,3,17,1,3.37,0.0,23,2,61,2,0.54,4.2
173,28.71,-2.7,42.8,28.46,0.47,1006.1,166.0,440.7,1,-12,0,3.41,0.0,19,1,57,2,0.73,8.9
174,41.59,21.6,29.4,15.56,0.15,1014.8,317.6,712.7,8,75,1,3.11,1.4,10,1,35,3,0.81,0.0
175,38.99,3.9,81.5,21.41,0.44,1014.1,240.9,505.6,0,11,1,3.59,0.0,18,3,47,2,0.53,2.8
176,34.17,4.8,58.2,31.06,0.15,1007.0,33.1,219.0,3,-2,0,3.86,0.0,23,2,94,0,0.06,10.6
177,33.9,3.5,66.0,37.52,0.74,1012.7,43.3,221.2,46,42,0,3.83,8.7,15,1,93,0,0.12,17.6
178,34.72,5.7,62.9,51.44,0.89,999.2,49.5,211.9,61,59,0,4.15,6.5,15,0,92,0,0.08,31.0
179,34.31,5.1,60.6,32.13,0.22,1007.5,43.3,233.2,9,7,0,4.17,0.0,18,3,89,0,0.06,11.6
180,34.56,6.2,57.4,35.79,0.97,1014.0,69.8,222.9,68,63,0,3.9,3.8,15,2,98,0,0.09,16.6
181,25.32,-7.3,32.4,17.33,0.06,1021.6,332.8,673.2,7,60,0,3.25,1.0,17,3,37,3,0.96,0.0
182,27.69,6.2,89.7,15.41,0.19,1007.3,298.9,559.8,1,85,1,3.21,0.6,4,0,37,3,0.93,0.0
183,40.21,5.6,85.7,21.5,0.39,1018.8,218.8,529.4,8,14,0,3.59,0.9,12,2,48,2,0.51,2.8
184,34.72,3.7,62.4,43.6,0.96,1020.1,51.3,216.0,65,62,0,3.95,8.3,11,3,88,0,0.09,24.0
185,34.91,5.2,59.0,51.39,1.0,1013.5,67.9,240.0,83,79,0,4.08,7.8,11,0,99,0,0.05,31.5
186,34.95,3.5,64.6,47.41,0.15,998.7,64.2,240.4,2,5,0,3.95,0.0,6,3,96,0,0.1,24.0
187,29.83,-1.6,41.3,29.23,0.42,1006.4,187.4,535.3,3,23,1,3.45,0.0,6,1,60,2,0.6,9.5
188,35.31,5.5,71.9,27.15,0.51,1001.2,95.6,208.9,1,6,0,3.68,0.0,5,2,70,1,0.42,7.8
189,34.65,3.3,67.3,49.7,0.27,1007.5,62.1,234.8,6,7,0,3.88,0.0,5,0,96,0,0.04,26.5
190,34.73,5.7,66.0,45.06,0.22,1015.1,46.8,232.7,6,5,0,3.91,0.0,3,0,92,0,0.05,22.4
191,34.52,4.9,58.1,37.03,0.25,1015.7,32.6,240.0,8,13,1,3.99,0.0,20,2,94,0,0.04,15.8
192,34.8,6.3,63.9,36.6,0.22,1004.2,58.7,226.7,7,10,0,4.01,0.0,18,1,95,0,0.04,15.3
193,42.14,8.4,89.8,15.82,0.1,1009.3,400.7,646.7,5,77,0,3.16,1.7,17,1,42,3,0.9,0.0
194,29.19,-0.6,87.4,28.93,0.5,1013.1,173.7,448.0,3,19,1,3.56,0.0,6,0,47,2,0.53,9.4
195,32.02,1.7,75.6,32.6,0.62,1015.5,96.0,194.7,0,-11,0,3.84,0.0,5,2,71,1,0.3,12.9
196,34.55,4.9,68.0,25.44,0.59,1010.5,132.7,367.7,2,-9,0,3.52,0.0,0,2,79,1,0.21,6.4
197,34.76,3.9,56.7,33.63,1.0,1012.2,74.8,227.2,88,86,0,3.81,4.7,16,2,91,0,0.12,14.7
198,34.71,6.2,55.5,31.07,0.35,1008.7,69.4,219.0,10,14,0,4.05,0.0,5,0,99,0,0.01,11.0
199,34.01,3.1,64.0,41.45,0.23,1000.8,58.4,220.5,3,8,0,3.96,0.0,3,2,96,0,0.11,19.4
200,34.65,5.8,65.1,36.5,0.2,998.3,67.4,244.1,7,8,0,3.88,0.0,3,0,93,0,0.11,15.2
201,37.52,1.5,83.6,22.31,0.5,1018.5,232.4,434.2,2,23,0,3.44,0.0,2,0,50,2,0.51,3.6
202,33.96,2.7,66.1,44.24,0.76,1002.4,70.1,210.3,48,53,0,4.16,5.0,11,2,93,0,0.09,23.8
203,24.31,-8.2,32.2,18.87,0.06,1008.5,367.3,733.3,1,46,0,3.06,0.8,12,3,37,3,0.9,0.5
204,34.93,1.1,52.9,36.43,0.57,1014.1,132.3,194.5,3,-9,1,3.73,0.0,19,3,77,1,0.2,16.1
205,34.82,3.3,61.3,49.63,0.79,999.8,59.9,232.4,49,52,1,4.16,6.3,10,0,95,0,0.06,28.9
206,35.16,4.2,55.7,31.73,0.94,998.4,40.0,232.5,65,63,0,3.83,6.2,15,2,95,0,0.04,12.7
207,34.57,3.2,65.7,49.58,1.0,1006.0,65.6,243.7,80,79,0,3.97,5.4,12,3,91,0,0.1,29.8
208,33.74,6.6,69.0,35.2,0.6,1015.2,127.8,315.5,5,20,0,3.54,0.0,19,3,85,1,0.42,15.1
209,34.66,6.2,57.4,45.77,0.21,1019.4,71.9,223.8,9,7,0,4.15,0.0,23,3,97,0,0.1,22.9
210,26.42,-4.7,28.9,18.84,0.08,1007.2,357.8,762.6,12,52,0,3.04,1.3,14,1,22,3,0.9,0.5
211,35.15,4.2,67.6,45.4,0.3,1011.3,50.4,214.7,8,12,0,4.07,0.0,19,1,99,0,0.1,23.0
